"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-11-04 17:06:17 +01:00"

"Country / territory of asylum/residence",Origin,Year,Month,Value
Greece,Georgia,2012,January,61
Greece,Georgia,2012,February,89
Greece,Georgia,2012,March,82
Greece,Georgia,2012,April,100
Greece,Georgia,2012,May,78
Greece,Georgia,2012,June,85
Greece,Georgia,2012,July,44
Greece,Georgia,2012,August,70
Greece,Georgia,2012,September,72
Greece,Georgia,2012,October,76
Greece,Georgia,2012,November,76
Greece,Georgia,2012,December,60
Hungary,"Viet Nam",2012,April,1
Hungary,"Viet Nam",2012,November,2
Hungary,Stateless,2012,January,1
Hungary,Sudan,2012,April,2
Greece,Ghana,2012,January,28
Greece,Ghana,2012,February,15
Greece,Ghana,2012,March,9
Greece,Ghana,2012,April,12
Greece,Ghana,2012,May,17
Greece,Ghana,2012,June,1
Greece,Ghana,2012,July,6
Greece,Ghana,2012,August,7
Greece,Ghana,2012,October,9
Greece,"Burkina Faso",2012,January,1
Greece,"Burkina Faso",2012,April,1
Greece,"Burkina Faso",2012,May,4
Greece,"Burkina Faso",2012,June,9
Greece,"Burkina Faso",2012,July,6
Greece,"Burkina Faso",2012,August,18
Greece,"Burkina Faso",2012,September,6
Greece,"Burkina Faso",2012,October,8
Greece,"Burkina Faso",2012,November,5
Greece,"Burkina Faso",2012,December,1
Greece,Guinea-Bissau,2012,March,2
Greece,Guinea-Bissau,2012,April,2
Greece,Guinea,2012,January,2
Greece,Guinea,2012,February,4
Greece,Guinea,2012,March,12
Greece,Guinea,2012,April,10
Greece,Guinea,2012,May,16
Greece,Guinea,2012,June,28
Greece,Guinea,2012,July,1
Greece,Guinea,2012,August,9
Greece,Guinea,2012,September,18
Greece,Guinea,2012,October,29
Greece,Guinea,2012,November,25
Greece,Guinea,2012,December,4
Greece,Honduras,2012,March,1
Greece,Azerbaijan,2012,February,2
Greece,Azerbaijan,2012,April,1
Greece,Azerbaijan,2012,July,1
Greece,Bahrain,2012,August,3
Greece,Belarus,2012,May,1
Greece,Belarus,2012,June,1
Greece,Belarus,2012,July,1
Greece,Belarus,2012,August,1
Greece,Brazil,2012,January,1
Greece,Benin,2012,January,1
Greece,Benin,2012,March,4
Greece,Benin,2012,April,1
Greece,Benin,2012,June,1
Greece,China,2012,January,26
Greece,China,2012,February,11
Greece,China,2012,March,23
Greece,China,2012,April,25
Greece,China,2012,May,29
Greece,China,2012,June,16
Greece,China,2012,July,13
Greece,China,2012,August,6
Greece,China,2012,September,20
Greece,China,2012,October,8
Greece,China,2012,November,8
Greece,China,2012,December,10
Greece,Cameroon,2012,March,1
Greece,Cameroon,2012,April,1
Greece,Cameroon,2012,June,6
Greece,Cameroon,2012,July,2
Greece,Cameroon,2012,August,3
Greece,Cameroon,2012,October,3
Greece,Cameroon,2012,November,3
Greece,Cameroon,2012,December,5
Greece,Congo,2012,January,1
Greece,Congo,2012,February,2
Greece,Congo,2012,March,5
Greece,Congo,2012,April,6
Greece,Congo,2012,May,9
Greece,Congo,2012,July,6
Greece,Congo,2012,September,3
Greece,Congo,2012,October,12
Greece,Congo,2012,November,10
Greece,Congo,2012,December,4
Greece,Turkey,2012,January,3
Greece,Turkey,2012,February,1
Greece,Turkey,2012,March,2
Greece,Turkey,2012,April,6
Greece,Turkey,2012,May,3
Greece,Turkey,2012,June,2
Greece,Turkey,2012,July,5
Greece,Turkey,2012,August,3
Greece,Turkey,2012,October,5
Greece,Turkey,2012,November,2
Hungary,"Syrian Arab Rep.",2012,January,10
Hungary,"Syrian Arab Rep.",2012,February,9
Hungary,"Syrian Arab Rep.",2012,March,2
Hungary,"Syrian Arab Rep.",2012,April,3
Hungary,"Syrian Arab Rep.",2012,May,8
Hungary,"Syrian Arab Rep.",2012,June,4
Hungary,"Syrian Arab Rep.",2012,July,17
Hungary,"Syrian Arab Rep.",2012,August,16
Hungary,"Syrian Arab Rep.",2012,September,9
Hungary,"Syrian Arab Rep.",2012,October,20
Hungary,"Syrian Arab Rep.",2012,November,39
Hungary,"Syrian Arab Rep.",2012,December,8
Hungary,Tibetan,2012,November,1
Greece,Nigeria,2012,January,17
Greece,Nigeria,2012,February,11
Greece,Nigeria,2012,March,24
Greece,Nigeria,2012,April,26
Greece,Nigeria,2012,May,26
Greece,Nigeria,2012,June,17
Greece,Nigeria,2012,July,17
Greece,Nigeria,2012,August,19
Greece,Nigeria,2012,September,32
Greece,Nigeria,2012,October,34
Greece,Nigeria,2012,November,23
Greece,Nigeria,2012,December,21
Greece,Oman,2012,February,5
Greece,Ukraine,2012,January,4
Greece,Ukraine,2012,February,6
Greece,Ukraine,2012,March,2
Greece,Ukraine,2012,April,3
