"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2017-11-03 12:56:34 +01:00"

"Country / territory of asylum/residence",Origin,Year,Month,Value
Germany,Uganda,2014,January,1
Germany,Uganda,2014,February,3
Germany,Uganda,2014,March,6
Germany,Uganda,2014,April,4
Germany,Uganda,2014,May,7
Germany,Afghanistan,2014,January,981
Germany,Afghanistan,2014,February,781
Germany,Afghanistan,2014,March,675
Germany,Afghanistan,2014,April,673
Germany,Afghanistan,2014,May,523
Germany,Afghanistan,2014,June,621
Germany,Afghanistan,2014,July,752
Germany,Afghanistan,2014,August,743
Germany,Afghanistan,2014,September,922
Germany,Afghanistan,2014,October,892
Germany,Afghanistan,2014,November,762
Germany,Afghanistan,2014,December,790
Germany,Albania,2014,January,423
Germany,Albania,2014,February,819
Germany,Albania,2014,March,697
Germany,Albania,2014,April,654
Germany,Albania,2014,May,616
Germany,Albania,2014,June,642
Germany,Albania,2014,July,757
Germany,Albania,2014,August,559
Germany,Albania,2014,September,366
Germany,Albania,2014,October,585
Germany,Albania,2014,November,859
Germany,Albania,2014,December,888
Germany,"Bosnia and Herzegovina",2014,January,631
Germany,"Bosnia and Herzegovina",2014,February,310
Germany,"Bosnia and Herzegovina",2014,March,522
Germany,"Bosnia and Herzegovina",2014,April,345
Germany,"Bosnia and Herzegovina",2014,May,274
Germany,"Bosnia and Herzegovina",2014,June,372
Germany,"Bosnia and Herzegovina",2014,July,654
Germany,"Bosnia and Herzegovina",2014,August,489
Germany,"Bosnia and Herzegovina",2014,September,475
Germany,"Bosnia and Herzegovina",2014,October,627
Germany,"Bosnia and Herzegovina",2014,November,559
Germany,"Bosnia and Herzegovina",2014,December,447
Germany,Bulgaria,2014,January,5
Germany,Bulgaria,2014,February,1
Germany,Bulgaria,2014,March,3
Germany,Bulgaria,2014,April,5
Germany,Bulgaria,2014,June,3
Germany,Bulgaria,2014,July,8
Germany,Cambodia,2014,February,1
Germany,Cambodia,2014,March,1
Germany,Cambodia,2014,June,3
Germany,Cambodia,2014,July,6
Germany,Cambodia,2014,September,1
Germany,Cambodia,2014,October,1
Germany,Algeria,2014,January,182
Germany,Algeria,2014,February,199
Germany,Algeria,2014,March,225
Germany,Algeria,2014,April,204
Germany,Algeria,2014,May,214
Germany,Algeria,2014,June,194
Germany,Algeria,2014,July,149
Germany,Algeria,2014,August,149
Germany,Algeria,2014,September,180
Germany,Algeria,2014,October,186
Germany,Algeria,2014,November,161
Germany,Algeria,2014,December,133
Germany,Angola,2014,January,6
Germany,Angola,2014,February,10
Germany,Angola,2014,March,14
Germany,Angola,2014,April,11
Germany,Angola,2014,May,13
Germany,Angola,2014,June,8
Germany,Angola,2014,July,3
Germany,Angola,2014,August,8
Germany,Angola,2014,September,7
Germany,Angola,2014,October,8
Germany,Angola,2014,November,9
Germany,Angola,2014,December,1
Germany,Ecuador,2014,March,3
Germany,"Equatorial Guinea",2014,March,2
Germany,"Equatorial Guinea",2014,May,1
Germany,"Equatorial Guinea",2014,June,3
Germany,Benin,2014,January,17
Germany,Benin,2014,February,16
Germany,Benin,2014,March,10
Germany,Benin,2014,April,8
Germany,Benin,2014,May,4
Germany,Benin,2014,June,23
Germany,Benin,2014,July,22
Germany,Benin,2014,August,34
Germany,Benin,2014,September,40
Germany,Benin,2014,October,29
Germany,Benin,2014,November,30
Germany,Benin,2014,December,6
Germany,"Equatorial Guinea",2014,September,2
Germany,Canada,2014,April,1
Germany,"Central African Rep.",2014,February,1
Germany,"Central African Rep.",2014,March,2
Germany,"Central African Rep.",2014,April,3
Germany,"Central African Rep.",2014,May,1
Germany,"Central African Rep.",2014,June,5
Germany,"Central African Rep.",2014,July,3
Germany,"Central African Rep.",2014,August,11
Germany,"Central African Rep.",2014,September,6
Germany,"Central African Rep.",2014,October,2
Germany,"Central African Rep.",2014,December,1
Germany,Chad,2014,January,21
Germany,Chad,2014,February,10
Germany,Chad,2014,March,6
Germany,Chad,2014,April,6
Germany,Chad,2014,May,6
Germany,Chad,2014,June,5
Germany,Chad,2014,July,9
Germany,Chad,2014,August,19
Germany,Chad,2014,September,9
Germany,Chad,2014,October,4
Germany,Chad,2014,November,17
Germany,Chad,2014,December,5
Germany,China,2014,January,43
Germany,China,2014,February,19
Germany,China,2014,March,32
Germany,China,2014,April,42
Germany,China,2014,May,53
Germany,China,2014,June,50
Germany,China,2014,July,31
Germany,China,2014,August,57
Germany,China,2014,September,32
Germany,China,2014,October,51
Germany,China,2014,November,28
Germany,China,2014,December,28
Germany,Chile,2014,December,1
Germany,Eritrea,2014,January,509
Germany,Eritrea,2014,February,220
Germany,Eritrea,2014,March,227
Germany,Eritrea,2014,April,475
Germany,Eritrea,2014,May,1227
Germany,Eritrea,2014,June,1333
Germany,Eritrea,2014,July,2010
Germany,Eritrea,2014,August,1997
Germany,Eritrea,2014,September,1708
Germany,Eritrea,2014,October,1518
Germany,Eritrea,2014,November,1264
Germany,Eritrea,2014,December,710
Germany,Bangladesh,2014,January,81
Germany,Bangladesh,2014,February,57
Germany,Bangladesh,2014,March,60
Germany,Bangladesh,2014,April,54
Germany,Bangladesh,2014,May,54
Germany,Bangladesh,2014,June,34
Germany,Bangladesh,2014,July,46
Germany,Bangladesh,2014,August,72
Germany,Bangladesh,2014,September,76
Germany,Bangladesh,2014,October,76
Germany,Bangladesh,2014,November,37
Germany,Bangladesh,2014,December,48
Germany,Bahamas,2014,February,1
Germany,Bhutan,2014,May,1
Germany,Bhutan,2014,July,3
Germany,Ethiopia,2014,January,93
Germany,Ethiopia,2014,February,60
Germany,Ethiopia,2014,March,41
Germany,Ethiopia,2014,April,62
Germany,Ethiopia,2014,May,56
Germany,Ethiopia,2014,June,87
Germany,Ethiopia,2014,July,122
Germany,Ethiopia,2014,August,99
Germany,Ethiopia,2014,September,189
Germany,Ethiopia,2014,October,155
Germany,Ethiopia,2014,November,123
Germany,Ethiopia,2014,December,87
Germany,"Burkina Faso",2014,January,22
Germany,"Burkina Faso",2014,February,11
Germany,"Burkina Faso",2014,March,10
Germany,"Burkina Faso",2014,April,18
Germany,"Burkina Faso",2014,May,24
Germany,"Burkina Faso",2014,June,16
Germany,"Burkina Faso",2014,July,12
Germany,"Burkina Faso",2014,August,21
Germany,"Burkina Faso",2014,September,27
Germany,"Burkina Faso",2014,October,9
Germany,"Burkina Faso",2014,November,16
Germany,"Burkina Faso",2014,December,9
Germany,France,2014,January,1
Germany,France,2014,February,2
Germany,Gabon,2014,January,1
Germany,Gabon,2014,February,1
Germany,Gabon,2014,May,1
Germany,Gabon,2014,September,3
Germany,Iraq,2014,January,388
Germany,Iraq,2014,February,405
Germany,Iraq,2014,March,358
Germany,Iraq,2014,April,365
Germany,Iraq,2014,May,321
Germany,Iraq,2014,June,304
Germany,Iraq,2014,July,401
Germany,Iraq,2014,August,436
Germany,Iraq,2014,September,517
Germany,Iraq,2014,October,636
Germany,Iraq,2014,November,693
Germany,Iraq,2014,December,521
Germany,Belarus,2014,January,7
Germany,Belarus,2014,February,9
Germany,Belarus,2014,March,7
Germany,Belarus,2014,April,19
Germany,Belarus,2014,May,2
Germany,Belarus,2014,June,3
Germany,Belarus,2014,July,9
Germany,Belarus,2014,August,5
Germany,Belarus,2014,September,3
Germany,Belarus,2014,October,16
Germany,Belarus,2014,November,11
Germany,Belarus,2014,December,20
Germany,Botswana,2014,May,3
Germany,Botswana,2014,July,1
Germany,Brazil,2014,February,2
Germany,Brazil,2014,March,3
Germany,Brazil,2014,May,2
Germany,Brazil,2014,December,1
Germany,Gambia,2014,January,92
Germany,Gambia,2014,February,91
Germany,Gambia,2014,March,88
Germany,Gambia,2014,April,178
Germany,Gambia,2014,May,133
